入库单,,,,,,,,,,,,,
序号,样品编号,调查船,航次,详细位置,,,,,结束深度（m）,心长（m）,存放位置,保存状况,备注
,,,,海域,站位,X坐标,Y坐标,详细地址,,,,,
1,BOJIN01-1,海参号,BJ-2014-6,北海道,NB01,108.6383,21.562,,1.54 ,1.54 ,3库2排6号,0.80 ,
2,BOJIN01-2,海参号,BJ-2014-6,北海道,NB02,108.6865,21.5621,,1.77 ,1.77 ,3库2排7号,0.80 ,
3,BOJIN01-3,海参号,BJ-2014-6,北海道,NB03,108.6865,21.5168,,1.63 ,1.63 ,3库2排8号,0.80 ,
4,BOJIN01-4,海参号,BJ-2014-6,北海道,NB04,108.7347,21.5167,,1.03 ,1.03 ,3库2排9号,0.80 ,
5,BOJIN01-5,海参号,BJ-2014-6,北海道,NB05,108.7347,21.562,,1.02 ,1.02 ,2库1排5号,0.80 ,
27,BOJIN01-6,海参号,BJ-2014-6,北海道,NB06,108.9277,21.3809,,0.31,0.31,2库1排6号,,
28,BOJIN01-7,海参号,BJ-2014-6,北海道,NB07,108.976,21.3763,,0.39,0.39,2库1排7号,,
29,BOJIN01-8,海参号,BJ-2014-6,北海道,NB08,108.6889,21.368,,1.47,1.47,2库1排8号,,
46,BOJIN01-9,海参号,BJ-2014-6,北海道,NB09,109.0242,21.2905,,1.37,1.37,2库1排9号,,
47,BOJIN01-10,海参号,BJ-2014-6,北海道,NB10,109.0241,21.2453,,0.74,0.74,2库1排10号,,
48,BOJIN01-11,海参号,BJ-2014-6,北海道,NB11,108.9276,21.3357,,3.75,3.75,2库1排11号,,
49,BOJIN01-12,海参号,BJ-2014-6,北海道,NB12,108.8794,21.3358,,0.34,0.34,2库1排12号,,
50,BOJIN01-13,海参号,BJ-2014-6,北海道,NB13,108.9276,21.4262,,1.15,1.15,2库1排13号,,
51,BOJIN01-14,海参号,BJ-2014-6,南海域,NB14,109.024,21.4715,,2.26,2.26,2库1排14号,,
52,BOJIN01-15,海参号,BJ-2014-6,南海域,NB15,109.0482,21.5053,,1.88,1.88,6库1排2号,,
53,BOJIN01-16,海参号,BJ-2014-6,南海域,NB16,108.9759,21.4715,,2.1,2.1,6库1排3号,,
54,BOJIN01-17,海参号,BJ-2014-6,南海域,NB17,108.9759,21.5168,,0.88,0.88,6库1排4号,,
55,BOJIN01-18,海参号,BJ-2014-6,南海域,NB18,108.9277,21.5167,,0.8,0.8,6库1排5号,,
56,BOJIN01-19,海参号,BJ-2014-6,南海域,NB19,108.9276,21.562,,1.88,1.88,6库1排6号,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
